affy.probeset|
aop.events|
aop|
aop.relationships|
aop.stressor|
bind|
biocyc|
biogrid|
biomodels.db|
biosystems|
brenda|
cas|
ccds|
chembl.compound|
chebi|P683
chemspider|
dip|
dbsnp|
drugbank|
ecogene|
ena.embl|
ensembl|
ensembl.plant|
ncbigene|P351
ec-code|
flybase|
insdc|
genewiki|
go|
hgnc.symbol|
hgnc|
hmdb|
homologene|
hprd|
inchikey|
intact|
interpro|
ipi|
kegg.compound|
kegg.drug|
kegg.genes|
kegg.glycan|
kegg.pathway|
kegg.reaction|
knapsack|
lipidmaps|
lipidbank|
macie|
matrixdb.association|
mgd|
mint|
mirbase.mature|
mirbase|
ncbiprotein|
pid.pathway|
omim|
pathwaycommons|
pdb|
pfam|
pharmgkb.drug|
pharmgkb.gene|
pharmgkb.pathways|
phosphosite.protein|
pina|
pubchem.bioassay|
pubchem.compound|
pubchem.substance|
reactome|
refseq|
resid|
